sname,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
Crescent View South II,Westside Elementary,Fresno,29,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Firebaugh-Las Deltas Unified,Fresno,169,54,16,18,16,16,9,16.67,2017-18
Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,164,54,16,18,16,16,9,16.67,2017-18
,Central Unified,Fresno,1036,58,19,22,20,20,26,44.83,2017-18
Central Unified Alternative/Opportunity,Central Unified,Fresno,101,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Central High East Campus,Central Unified,Fresno,864,58,19,22,20,20,26,44.83,2017-18
,Kerman Unified,Fresno,368,42,20,21,19,21,20,47.62,2017-18
Kerman High,Kerman Unified,Fresno,342,42,20,21,19,21,20,47.62,2017-18
,Mendota Unified,Fresno,222,64,16,17,17,17,9,14.06,2017-18
Mendota High,Mendota Unified,Fresno,219,64,16,17,17,17,9,14.06,2017-18
,Golden Plains Unified,Fresno,91,40,15,16,17,15,6,15.00,2017-18
Tranquillity High,Golden Plains Unified,Fresno,91,40,15,16,17,15,6,15.00,2017-18
,Sierra Unified,Fresno,135,13,*,*,*,*,*,*,2017-18
Sierra High,Sierra Unified,Fresno,123,13,*,*,*,*,*,*,2017-18
,Riverdale Joint Unified,Fresno,159,48,17,18,18,19,10,20.83,2017-18
Riverdale High,Riverdale Joint Unified,Fresno,151,48,17,18,18,19,10,20.83,2017-18
,Caruthers Unified,Fresno,138,5,*,*,*,*,*,*,2017-18
Caruthers High,Caruthers Unified,Fresno,133,5,*,*,*,*,*,*,2017-18
,Washington Unified,Fresno,347,95,16,17,17,17,11,11.58,2017-18
Elm High,Washington Unified,Fresno,47,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
W. E. B. DuBois Public Charter,Washington Unified,Fresno,89,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Washington High,Washington Unified,Fresno,207,95,16,17,17,17,11,11.58,2017-18
       ,     ,Glenn,421,65,19,21,20,21,26,40.00,2017-18
Success One!,Glenn County Office of Education,Glenn,34,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Princeton Joint Unified,Glenn,26,2,*,*,*,*,*,*,2017-18
Princeton Junior-Senior High,Princeton Joint Unified,Glenn,26,2,*,*,*,*,*,*,2017-18
,Willows Unified,Glenn,113,13,*,*,*,*,*,*,2017-18
Willows High,Willows Unified,Glenn,106,13,*,*,*,*,*,*,2017-18
,Orland Joint Unified,Glenn,161,33,18,21,20,21,13,39.39,2017-18
Orland High,Orland Joint Unified,Glenn,151,33,18,21,20,21,13,39.39,2017-18
,Hamilton Unified,Glenn,70,17,20,21,20,20,7,41.18,2017-18
Hamilton High,Hamilton Unified,Glenn,65,17,20,21,20,20,7,41.18,2017-18
       ,     ,Humboldt,1289,142,24,25,24,24,106,74.65,2017-18
,Humboldt County Office of Education,Humboldt,78,5,*,*,*,*,*,*,2017-18
Northcoast Preparatory and Performing Arts Academy,Humboldt County Office of Education,Humboldt,21,5,*,*,*,*,*,*,2017-18
,Northern Humboldt Union High,Humboldt,414,72,26,26,25,24,60,83.33,2017-18
Six Rivers Charter High,Northern Humboldt Union High,Humboldt,25,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
